Make,Model,Year,Fuel Type,MPG Data,Combined Mpg For Fuel Type1,Co2  Tailpipe For Fuel Type1,Engine displacement
Kia,Rio,2004,Regular,Y,24,370.2916666666667,1.6
Ford,Five Hundred FWD,2005,Regular,Y,21,423.1904761904762,3.0
Kia,Sorento 2WD,2005,Regular,Y,16,555.4375,3.5
Mitsubishi,Galant,2006,Regular,Y,23,386.39130434782606,2.4
Hyundai,Sonata,2009,Regular,Y,25,355.48,2.4
Toyota,Prius,2009,Regular,Y,46,193.19565217391303,1.5
BMW,325xi,2002,Premium,Y,19,467.7368421052632,2.5
BMW,530i,2002,Premium,Y,22,403.95454545454544,3.0
Subaru,Outback AWD,2020,Regular,Y,29,308.0,2.5
Jeep,Grand Cherokee 4WD,2015,Gasoline or E85,Y,19,458.0,3.6
Ford,C-MAX Hybrid FWD,2017,Regular,Y,40,222.0,2.0
MINI,Cooper S,2003,Premium,Y,25,355.48,1.6
Nissan,Maxima,2005,Regular,Y,21,423.1904761904762,3.5
Volvo,V70 FWD,2002,Premium,Y,21,423.1904761904762,2.4
Lexus,CT 200h,2011,Regular,Y,42,211.5952380952381,1.8
Mercedes-Benz,GLK350,2012,Premium,Y,18,493.72222222222223,3.5
Volkswagen,Touareg,2013,Diesel,Y,23,445.0,3.0
Porsche,Cayenne S,2004,Premium,Y,14,634.7857142857143,4.5
BMW,330i,2006,Premium,Y,21,423.1904761904762,3.0
Hyundai,Azera,2006,Regular,Y,20,444.35,3.8
Ford,Escape FWD,2009,Regular,Y,23,386.39130434782606,2.5
Subaru,Impreza AWD,2009,Premium,Y,21,423.1904761904762,2.5
Ford,Transit Connect,2010,Regular,Y,23,386.39130434782606,2.0
